state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
CT,2020-04-10,754,10123.9442684843,6223.19460438058,15552.1308583043,68,51.9164742994652,40.5506848450644,66.254116985693,1.04460338653444,0.776776378760396,1.35390370444655,81640.7610761807,57466.8601180451,112903.780823455
CT,2020-04-11,972,8148.93438130034,5409.34609521768,11596.3575527956,46,55.6185912169593,43.5314281829349,70.4910702534831,0.844480042809143,0.607289272546541,1.11211499958954,82191.1265844872,57626.2793212786,113993.784356911
CT,2020-04-12,525,8388.04604001636,5471.43604068895,12204.2635856823,60,59.2762826545038,46.4798582145065,74.9101330894177,0.867093500173611,0.608360324616804,1.16959474182886,82421.2623431924,57228.9422712285,115007.470463624
CT,2020-04-13,1346,8294.19650706115,5349.39085577115,12186.2069376882,48,62.8445860921293,49.303646640012,79.275923943968,0.862315667696145,0.611807138136998,1.15440857527778,81847.9452539329,56679.3408609695,114327.50690054
CT,2020-04-14,608,8004.42386253221,5143.34205184828,11711.1151855111,69,66.3006644464674,52.2234049415218,83.4456557160037,0.841897951817213,0.612661934992478,1.10105277270772,80714.8695344331,56014.3127272686,112871.896467416
CT,2020-04-15,766,7848.01551817369,4916.442331294,11709.9474130253,197,69.6201485167709,54.8527125389918,87.6356462661044,0.838868884937867,0.610069729781567,1.09939293745925,79243.8046429083,55064.6297156351,110245.572173806
CT,2020-04-16,1129,7696.94110996806,4696.54237507117,11692.2441986226,103,72.7638338591507,57.5259124595785,91.5026936017122,0.838456737007932,0.612072483091361,1.09676876565624,77559.3766791433,53868.9987202014,107553.613931764
CT,2020-04-17,925,7534.13212402382,4461.39861028484,11689.0158310022,65,75.6934497833955,60.085632677024,94.9334256833865,0.837783311046396,0.612449492927005,1.09619750183532,75776.4428723226,52337.9138950866,106208.224399676
CT,2020-04-18,741,6538.13886718865,4425.70840971315,9235.10854558801,50,78.4141414732,62.1207484150234,98.3519758068012,0.754704531488022,0.543936196926924,0.999771762950453,73975.7537071012,50501.7199524172,104167.030367134
CT,2020-04-19,412,6321.07727393343,4205.40486323395,9033.56674853212,41,80.876547487805,63.9069425810302,101.303407091444,0.748630524315706,0.53894065908353,0.993238984660313,72073.083984592,48794.7418350808,102138.605780885
CT,2020-04-20,1853,6148.65407609609,4030.48764341122,8872.26998451706,204,83.0868537968749,65.8198695777225,103.81216154432,0.750156809922083,0.541229530539442,0.992950342557857,69870.6164178558,47322.8373586274,98587.567739452
CT,2020-04-21,545,5974.57384110373,3845.44408947043,8778.85322782343,92,84.9937592269337,67.238560518436,106.629309465296,0.753532238681597,0.542616920982283,1.00015738035262,67451.1943115156,45749.3604563209,94914.8754632496
CT,2020-04-22,2109,5721.8687065219,3602.57284918441,8502.79201184672,121,86.6088635289822,68.4583086827919,108.672311814657,0.74764592074482,0.5398775957562,0.989152731730221,64952.7153542204,44409.271041883,91086.6699681917
CT,2020-04-23,631,5510.30840614127,3399.8655647954,8324.27527820702,95,87.9077955424852,69.389600223163,110.481707898865,0.746619189597255,0.539572759524821,0.987661382177301,62469.539391348,42810.8626884162,87455.357156952
CT,2020-04-24,836,5319.9011201295,3209.19691597943,8229.55051519929,128,88.928015486715,70.0683324434983,111.978216324672,0.747855756521437,0.539249802326705,0.986744077489018,60040.387300317,41325.1084097555,84372.2420424484
CT,2020-04-25,647,4726.5362803719,3228.02930788808,6713.546043635,98,89.6057369655077,70.4395412314823,112.851847468901,0.700938905722904,0.496048146031202,0.94170012533581,57692.128304258,39605.1439080393,80841.2437702559
CT,2020-04-26,686,4587.25526228896,3109.08111542447,6591.48166879262,59,90.0205822455204,70.7597102974051,113.939941453515,0.708081309356652,0.502475632996694,0.950834466556649,55379.9001358087,37773.9473742135,78039.3695463496
CT,2020-04-27,728,4379.68124062491,2934.46206634082,6369.97799246482,88,90.1208553097912,70.6279020466599,114.210890152465,0.705204255473793,0.500991467683234,0.944185687285292,53014.3576817204,36216.3026278043,74468.4142862692
CT,2020-04-28,315,4165.8359256462,2739.36184918722,6157.9461768416,75,89.925436758243,70.4654313588552,114.104559053928,0.700702642103016,0.496918187059924,0.937801094089406,50644.9325840562,34743.8484051786,71172.1606449591
CT,2020-04-29,455,3992.96742864891,2539.17175527646,5984.27158510891,82,89.4489958530416,70.037332861465,113.663153752087,0.702110182346473,0.498999291006486,0.937184546568901,48314.1475707152,33120.7645776682,67716.5860067252
CT,2020-04-30,933,3822.33802985779,2365.39614901607,5822.78606139152,88,88.7426336918712,69.4892986249538,113.086585359931,0.703038026625056,0.49868424794635,0.939262774454893,46051.0966677109,31625.5103373539,64363.4027994874
CT,2020-05-01,1064,3629.81834523629,2167.25372884887,5635.28917996972,82,87.7720222189722,68.5610319532416,111.863326405716,0.698625785120515,0.49626499428163,0.931907623109992,43881.3016192639,30208.2591919078,61368.7660658721
CT,2020-05-02,523,3287.94952251499,2198.37977110007,4725.8885203827,97,86.596910835761,67.5902565132328,110.222697713198,0.671981835813387,0.482799167102566,0.908169688834983,41813.7554954667,28669.3678015229,58763.2512888922
CT,2020-05-03,0,3127.10773070128,2070.09434775531,4536.28558462363,0,85.2240840024853,66.4669888294733,108.683899859828,0.670789528901573,0.481542815546989,0.906240371916357,39816.5692366235,27324.1066134808,56034.3918224067
CT,2020-05-04,686,2995.07156570107,1949.06323501571,4367.42268257012,120,83.6534821260883,65.258688984063,106.598445046377,0.674823232005703,0.485592136127098,0.903371359273871,37842.4876316729,26028.2513984744,53618.5769137358
CT,2020-05-05,648,2834.92857923274,1809.33764361081,4187.44696939919,77,81.9229776083738,63.9409171112883,104.532037573705,0.671772114691758,0.48380039760387,0.902110215872451,35910.2867952034,24860.6708973281,50848.3010766365
CT,2020-05-06,374,2711.53322877417,1698.53259852879,4054.68239876913,85,80.051589459988,62.4753175497709,102.129621718764,0.675832407481677,0.4863856794929,0.908365372676115,34047.9168272175,23541.2274749632,48019.1915175733
CT,2020-05-07,789,2564.07514109233,1570.58073207856,3900.51391653868,79,78.0710613792551,60.8605865513604,99.5184805054828,0.672450321294811,0.485501324701784,0.900837354148927,32270.0752358057,22303.0994120297,45333.0598947098
CT,2020-05-08,627,2442.57797222664,1454.30208153514,3819.25727547091,77,75.9818725460729,59.3357838865984,96.7663541787805,0.673839963949122,0.484817413099858,0.904424511165992,30586.2319268858,21091.3608179081,42977.9507031144
CT,2020-05-09,573,2218.68616577385,1491.21223323851,3157.63519166715,58,73.8012198487908,57.6183567489047,93.7455744773101,0.65389383304694,0.469677947400523,0.878647893662892,28994.2687480358,19924.4477538511,40985.7453984751
CT,2020-05-10,570,2101.01238281434,1389.60953328442,3035.5550051509,35,71.5669448875905,55.9793241661154,90.5938983029875,0.652952229042718,0.468422686588383,0.881212105594562,27476.9927648723,18784.2714458239,39117.8796730015
CT,2020-05-11,211,2020.38525813851,1324.96664552054,2927.52032059284,41,69.2666796836847,54.1650505284589,87.7918641045649,0.662458185748687,0.477112443427924,0.886882965782225,26003.7345648538,17695.1973758218,36972.0303114976
CT,2020-05-12,568,1902.86132572655,1218.48247111052,2820.003642891,33,66.9386581150924,52.408222740418,84.5917798248238,0.658567298146264,0.473506412904217,0.880518924233755,24584.1050513457,16796.133757895,34932.2416487029
CT,2020-05-13,522,1801.2022626703,1122.40726459637,2731.50201026973,84,64.5810844419492,50.6210799961211,81.6437662422261,0.657889632706259,0.472455840123077,0.880207822919392,23234.8904313721,16012.2043082505,32832.234738513
CT,2020-05-14,609,1706.0034035102,1042.66153075254,2629.24324010081,94,62.2302369643608,48.7525038246045,78.5026628708405,0.657510506865542,0.472259816796846,0.879492024491322,21957.2523640755,15137.0966798909,31005.7607792026
CT,2020-05-15,621,1618.20514674762,969.612165528022,2539.98409499886,66,59.8738724564203,46.909847035007,75.3786110259298,0.65798828074255,0.473141623795177,0.879130935354418,20750.5382029563,14309.0972820398,29276.6362393537
